".London UK"
"House","Hotel","Go","Jail","Free Parking","Bank","Title Deed","Rent","Utility","Station","£","Before","Chance","Community Chest"
"13080","1500","200","&HC0FFC0","150","&H0","50","3","YES","NO","0","99","5"
"Arial","0","7","False","False","False","False"
"0","&00FFFFFF&","0","#NULL#","#NULL#"
"1","16512","50","65280","128"
"2","12582912","50","65280","128"
"3","16711935","100","65280","128"
"4","33023","100","65280","128"
"5","255","150","65280","128"
"6","65535","150","65280","128"
"7","32768","200","65280","128"
"8","4194304","200","65280","128"
"9","&HC0FFC0","0","#NULL#","#NULL#"
"10","&HC0FFC0","0","#NULL#","#NULL#"
"40"
"1","Go","0","0","0","0","0","0","0","0","0"
"2","Old Kent Road","1","60","99","2","10","30","90","160","250"
"3","Community Chest","0","0","0","0","0","0","0","0","0"
"4","Whitechapel Road","1","60","99","4","20","60","180","320","450"
"5","Income Tax   Pay £200","0","0","0","200","0","0","0","0","0"
"6","Kings Cross Station","10","200","99","25","50","100","200","0","0"
"7","The Angel Islington","2","100","99","6","30","90","270","400","550"
"8","Chance","0","0","0","0","0","0","0","0","0"
"9","Euston Road","2","100","99","6","30","90","270","400","550"
"10","Pentonville Road","2","120","99","8","40","100","300","450","600"
"11","Jail","0","0","0","0","0","0","0","0","0"
"12","Pall Mall","3","140","99","10","50","150","450","625","750"
"13","Electric Company","9","150","99","4","7","0","0","0","0"
"14","Whitehall","3","140","99","10","50","150","450","625","750"
"15","Northumberland Avenue","3","160","99","12","60","180","500","700","900"
"16","Marylebone Station","10","200","99","25","50","100","200","0","0"
"17","Bow Street","4","180","99","14","70","200","550","750","950"
"18","Community Chest","0","0","0","0","0","0","0","0","0"
"19","Marlborough Street","4","180","99","14","70","200","550","750","950"
"20","Vine Street","4","200","99","16","70","220","600","800","1000"
"21","Free Parking","0","0","0","0","0","0","0","0","0"
"22","Strand","5","220","99","18","90","250","700","875","1050"
"23","Chance","0","0","0","0","0","0","0","0","0"
"24","Fleet Street","5","220","99","18","90","250","700","875","1050"
"25","Trafalgar Square","5","240","99","20","100","300","750","925","1100"
"26","Fenchurch Street Station","10","200","99","25","50","100","200","0","0"
"27","Leicester Square","6","260","99","22","110","330","800","975","1150"
"28","Coventry Street","6","260","99","22","110","330","800","975","1150"
"29","Water Works","9","150","99","4","7","0","0","0","0"
"30","Piccadilly","6","280","99","22","120","360","850","1025","1200"
"31","Go To Jail","0","0","0","0","0","0","0","0","0"
"32","Regent Street","7","300","99","26","130","390","900","1100","1275"
"33","Oxford Street","7","300","99","26","130","390","900","1100","1275"
"34","Community Chest","0","0","0","0","0","0","0","0","0"
"35","Bond Street","7","320","99","28","150","450","1000","1200","1400"
"36","Liverpool Street Station","10","200","99","25","50","100","200","0","0"
"37","Chance","0","0","0","0","0","0","0","0","0"
"38","Park Lane","8","350","99","35","175","500","1100","1300","1500"
"39","Super Tax   Pay £100","0","0","0","100","0","0","0","0","0"
"40","Mayfair","8","400","99","50","200","600","1400","1700","2000"
"16"
"1","GET OUT OF JAIL FREE      This card may be kept until needed or sold","Get Out of Jail","50"
"2","DRUNK IN CHARGE   FINE £20","Pay To Bank","20"
"3","SPEEDING FINE £15","Pay To Bank","15"
"4","YOU ARE ASSESED FOR STREET REPAIRS   £40 PER HOUSE   £120 PER HOTEL","Street Repairs","40"
"5","PAY SCHOOL FEES £150","Pay To Bank","150"
"6","MAKE GENERAL REPAIRS ON ALL OF YOUR HOUSES   FOR EACH HOUSE PAY £25   FOR EACH HOTEL PAY £100","General Repairs","25"
"7","YOUR BUILDING LOAN MATURES   RECEIVE £150","Receive From Bank","150"
"8","BANK PAYS YOU DIVIDEND   OF £50","Receive From Bank","50"
"9","ADVANCE TO GO","Advance To","1"
"10","ADVANCE TO MAYFAIR","Advance To","40"
"11","TAKE A TRIP TO MARYLEBONE STATION AND IF YOU PASS 'GO' COLLECT £200","Advance To","16"
"12","GO BACK THREE SPACES","Go Back","3"
"13","ADVANCE TO TRAFALGAR SQUARE   IF YOU PASS 'GO'   COLLECT £200","Advance To","25"
"14","ADVANCE TO PALL MALL   IF YOU PASS 'GO' COLLECT   £200","Advance To","12"
"15","GO TO JAIL   MOVE DIRECTLY TO JAIL   DO NOT PASS 'GO'   DO NOT COLLECT £200","Goto Jail","11"
"16","YOU HAVE WON A CROSSWORD COMPETITION   COLLECT £100","Receive From Bank","100"
"16"
"1","GET OUT OF JAIL FREE      This card may be kept until needed or sold","Get Out of Jail","50"
"2","BANK ERROR IN YOUR FAVOUR   COLLECT £200","Receive From Bank","200"
"3","YOU HAVE WON SECOND PRIZE IN A BEAUTY CONTEST   COLLECT £10","Receive From Bank","10"
"4","RECEIVE INTEREST ON 7% PREFERENCE SHARES   £25","Receive From Bank","25"
"5","YOU INHERIT £100","Receive From Bank","100"
"6","FROM SALE OF STOCK YOU GET   £50","Receive From Bank","50"
"7","INCOME TAX REFUND   COLLECT £20","Receive From Bank","20"
"8","IT IS YOUR BIRTHDAY   COLLECT £10 FORM EACH PLAYER","Receive From All Players","10"
"9","PAY HOSPITAL £100","Pay To Bank","100"
"10","PAY YOUR INSURANCE   PREMIUM £50","Pay To Bank","50"
"11","DOCTOR'S FEE   PAY £50","Pay To Bank","50"
"12","PAY A £10 FINE OR TAKE   A 'CHANCE'","Fine or Chance","10"
"13","ADVANCE TO 'GO'","Advance To","1"
"14","GO BACK TO OLD KENT ROAD","Back To","2"
"15","GO TO JAIL   MOVE DIRECTLY TO JAIL   DO NOT PASS 'GO'   DO NOT COLLECT £200","Goto Jail","11"
"16","ANNUITY MATURES   COLLECT £100","Receive From Bank","100"

".Manchester UK"
